A,8.125,6.603,6.945,13.081
(4.849_13.953),B,0.812,0.853,1.607
(4.058_10.974),(0.433_1.528),C,1.047,1.983
(1.546_31.343),(0.171_4.172),(0.213_5.044),D,1.891
(7.144_24.609),(0.898_2.885),(0.985_4.02),(0.376_9.622),E
