A,2.099,1.891,1.937,2.576
(1.579_2.636),B,-0.208,-0.162,0.477
(1.401_2.395),(-0.836_0.424),C,0.047,0.685
(0.436_3.445),(-1.764_1.428),(-1.544_1.618),D,0.638
(1.966_3.203),(-0.107_1.06),(-0.015_1.391),(-0.977_2.264),E
